,Season,Episode,Character,Line,Processed Line
8891,12,9,Cartman,"You know what she did? She apologized and begged me not to fight her. I said ""Well Wendy, if you're so sorry, then say it in front of everyone."" But she wouldn't. That's how desperate she is. Man you have to do something, Stan. You have to be a fuckin' man and forbid her from fighting, so she has a way-  Oh, that's where I put those.  Anyway, Stan, you've got to put a stop to this fight. Wendy's stuck and she needs you.",you know what she did she apologized and begged me not to fight her i said well wendy if youre so sorry then say it in front of everyone but she wouldnt thats how desperate she is man you have to do something stan you have to be a fuckin man and forbid her from fighting so she has a way  oh thats where i put those  anyway stan youve got to put a stop to this fight wendys stuck and she needs you
8892,12,9,Stan,"Dude, there's nothing I can do about it.",dude theres nothing i can do about it
8893,12,9,Cartman,"God, you are such a pussy, Stan! You're such a pussy! When I hurt Wendy, it's gonna be on your fucking head!",god you are such a pussy stan youre such a pussy when i hurt wendy its gonna be on your fucking head
8894,12,9,Mr. Garrison,"And so you see, at this point Euripides knew he could not win the battle.  All right kids, for your homework tonight I want you all to read chapters seven...",and so you see at this point euripides knew he could not win the battle  all right kids for your homework tonight i want you all to read chapters seven 
8898,12,9,Mr. Garrison,And be ready for a quiz tomorrow morning.,and be ready for a quiz tomorrow morning
8901,12,9,Mr. Garrison,"Eric, did you just take a crap on my desk?",eric did you just take a crap on my desk
8902,12,9,Cartman,"Whassup? Whassup? Crapped on your desk, dawg. What's up with that?",whassup whassup crapped on your desk dawg whats up with that
8906,12,9,Butters,"Eric. Hey Eric.  Eric, wha-what's goin' on? Everyone is startin' to say you got detention on purpose to get out of fightin' Wendy.",eric hey eric  eric whawhats goin on everyone is startin to say you got detention on purpose to get out of fightin wendy
8908,12,9,Butters,"But some people think you crapped on Teacher's desk, uh to get out of the fight.",but some people think you crapped on teachers desk uh to get out of the fight
8909,12,9,Cartman,That's not why I did it.,thats not why i did it
8911,12,9,Cartman,"Because I'm hardcore. You know, I'm I'm antiestablishment. That's how I roll, dawgs. I do hardcore stuff like that.",because im hardcore you know im im antiestablishment thats how i roll dawgs i do hardcore stuff like that
8912,12,9,Butters,"That's what I said. I told everyone outside, ""Cartman ain't scared of fightin' Wendy! He'd do it if he could!""",thats what i said i told everyone outside cartman aint scared of fightin wendy hed do it if he could
8913,12,9,Cartman,"Damned straight! I just got all punk rock and got detention, you know! I'm just a bad dude.",damned straight i just got all punk rock and got detention you know im just a bad dude
8917,12,9,Butters,That way it won't matter if you get detention.,that way it wont matter if you get detention
8928,12,9,Cartman,"The, the thing is, I totally said I was sorry, but she still wants to beat me up.",the the thing is i totally said i was sorry but she still wants to beat me up
8930,12,9,Cartman,"The thing is, Wendy, I really think you're awesome, and I know I'm just a nerdy little weakling to you, but I want to be your friend because I don't have that many friends at schooooooooooool.",the thing is wendy i really think youre awesome and i know im just a nerdy little weakling to you but i want to be your friend because i dont have that many friends at schooooooooooool
8942,12,9,Butters,Man it's almost time for school to start an' Wendy still isn't here.,man its almost time for school to start an wendy still isnt here
8943,12,9,Cartman,"Yeah, I don't know what's going on. I mean, I showed up.",yeah i dont know whats going on i mean i showed up
8946,12,9,Cartman,"What's up, Wendy? I thought we were meeting early to fight.",whats up wendy i thought we were meeting early to fight
8948,12,9,Cartman,Why not? You chicken?,why not you chicken
8950,12,9,Cartman,"Pfffft. Aw, that's a doozie, Wendy! You come up with that one on your own?!",pfffft aw thats a doozie wendy you come up with that one on your own
8951,12,9,Butters,"Hehehe yeah, did you come up with that one on your own?!",hehehe yeah did you come up with that one on your own
8952,12,9,Cartman,"I ain't frontin' dawg! Let's do this! Let's do it right now, yo.",i aint frontin dawg lets do this lets do it right now yo
8958,12,9,Stan,"Ugh, I'm glad that's over with.",ugh im glad thats over with
8962,12,9,Mr. Garrison,"Very nice, Clyde. Okay, we have time for one more report before recess. Who'd like to go?  Okay Eric.",very nice clyde okay we have time for one more report before recess whod like to go  okay eric
8963,12,9,Cartman,"Thank you. My report today is on breast cancer awareness.  I do not believe enough is being done, and, like the victims of breast cancer, there's something I'd like to get off my chest.  We all must fight, and hopefully one day, titty cancer will be a distant mammary.",thank you my report today is on breast cancer awareness  i do not believe enough is being done and like the victims of breast cancer theres something id like to get off my chest  we all must fight and hopefully one day titty cancer will be a distant mammary
8965,12,9,Cartman,What did the breast cancer say to the Polish monkey?,what did the breast cancer say to the polish monkey
8966,12,9,Mr. Garrison,"Okay Eric, that's enough you smartass!",okay eric thats enough you smartass
8984,12,9,Cartman,"Go deep, Craig.  Not that deep, retard!",go deep craig  not that deep retard
8985,12,9,Butters,She's coming! She's coming!,shes coming shes coming
8986,12,9,Cartman,"Butters, get out of here!",butters get out of here
8987,12,9,Butters,But Wendy's coming to fight you.,but wendys coming to fight you
8993,12,9,Cartman,"What- what's up?  What what's up?  Wendy, don't forget: I'll tell my mom on you.",what whats up  what whats up  wendy dont forget ill tell my mom on you
8995,12,9,Cartman,"Um, recess is almost over, I don't I don't know if there's really time.",um recess is almost over i dont i dont know if theres really time
8997,12,9,Cartman,"All right, fine Wendy!  I'll fight ya you big bully!",all right fine wendy  ill fight ya you big bully
8999,12,9,Butters,"Fuck him up, Wendy!",fuck him up wendy
9003,12,9,Cartman,You don't have to say anything. I know how it is. I'm no longer the cool kid. Now you all think I'm a fahahahahahag.  My school life is over 'cause now all the guys don't think I'm coooohoohoohoohoohooooool.,you dont have to say anything i know how it is im no longer the cool kid now you all think im a fahahahahahag  my school life is over cause now all the guys dont think im coooohoohoohoohoohooooool
9004,12,9,Stan,"Dude, we never thought you were cool.",dude we never thought you were cool
9005,12,9,Cartman,That's not true. You're just saying that.,thats not true youre just saying that
9006,12,9,Kyle,"No, really. We've always thought you suck.",no really weve always thought you suck
9008,12,9,Cartman,You're all just saying that to make me feel better.,youre all just saying that to make me feel better
9011,12,9,Cartman,"Don't try and make me feel better, you guys, it isn't... Wait, wait a minute. Why would you guys be saying stuff to make me feel better? Unless... unless you do think I'm cool.",dont try and make me feel better you guys it isnt  wait wait a minute why would you guys be saying stuff to make me feel better unless  unless you do think im cool
9013,12,9,Cartman,"If you're all trying to make me feel better, then you must still like me. Oh, oh phew! Oh, you had me so worried about what you guys were gonna think of me getting beat up by a girl and... it turns out you think I'm cool no matter what. Oh, oh, oh God, what a relief!  Oh, yay!",if youre all trying to make me feel better then you must still like me oh oh phew oh you had me so worried about what you guys were gonna think of me getting beat up by a girl and  it turns out you think im cool no matter what oh oh oh god what a relief  oh yay
9014,12,10,Kyle,"I don't get it, Kenny: why do you buy razors and shaving cream?",i dont get it kenny why do you buy razors and shaving cream
9016,12,10,Cartman,Shave your balls? Why would you shave your balls?,shave your balls why would you shave your balls
9018,12,10,Kyle,Girls like shaved balls?,girls like shaved balls
9020,12,10,Cartman,What girl is gonna see your balls?,what girl is gonna see your balls
9022,12,10,Stan,"Oh Jesus, there's another one!  Another pan flute band! Have you guys noticed there's bands like this everywhere you go lately?",oh jesus theres another one  another pan flute band have you guys noticed theres bands like this everywhere you go lately
9023,12,10,Cartman,Yeah I saw like three of those bands down in Denver yesterday. All their crappy music sounds the same.,yeah i saw like three of those bands down in denver yesterday all their crappy music sounds the same
9024,12,10,Stan,I'm so sick of hearing this music everywhere I go!,im so sick of hearing this music everywhere i go
9025,12,10,Kyle,I think Kenny likes it.,i think kenny likes it
9026,12,10,Stan,I gotta get home for dinner.,i gotta get home for dinner
9030,12,10,Stan,I'm outta here; see ya guys.,im outta here see ya guys
9032,12,10,Stan,They're in London too?,theyre in london too
